id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
4848,Bang Bang (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,2.0,"1996, July",1996.0
4849,Flamesplasher (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,2.0,"1977, April",1977.0
4850,Matatoa (New Earth),Secret Identity,Bad Characters,Black Eyes,Blond Hair,Living Characters,2.0,"2001, June",2001.0
4851,Patty Patty (New Earth),Secret Identity,Bad Characters,Black Eyes,Blond Hair,Living Characters,2.0,"1996, July",1996.0
4852,Charliehorse (New Earth),Secret Identity,Bad Characters,Black Eyes,Brown Hair,Living Characters,2.0,"2005, November",2005.0
4853,Eamon Garcia (New Earth),Secret Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,2.0,"2005, May",2005.0
4854,Fauna Faust (New Earth),Secret Identity,Bad Characters,Black Eyes,White Hair,Deceased Characters,2.0,"1995, March",1995.0
4855,Kent Thurston (New Earth),Secret Identity,Good Characters,Black Eyes,Blond Hair,Deceased Characters,2.0,"1988, May",1988.0
4856,Millions (New Earth),Secret Identity,Good Characters,Black Eyes,White Hair,Living Characters,2.0,"2005, November",2005.0
4857,Strato (New Earth),Secret Identity,Neutral Characters,Black Eyes,Grey Hair,Living Characters,2.0,"2005, July",2005.0
4858,Tempter (New Earth),Unknown,Bad Characters,Black Eyes,Black Hair,Living Characters,2.0,"1972, February",1972.0
4859,Rafael Santini (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,2.0,"1990, January",1990.0
4860,Lyle Blanco (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,2.0,"2009, October",2009.0
4861,Matches Malone (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,2.0,"2001, April",2001.0
4862,Lucia Viti (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,2.0,"1999, December",1999.0
4863,Johnny Vitti (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,2.0,"1987, February",1987.0
4864,Matvei Rodor (New Earth),Public Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,2.0,"1988, March",1988.0
4865,Evan Gibson (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,2.0,"2010, August",2010.0
4866,Kathryn George (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,2.0,"1990, July",1990.0
4867,Thormon Tox (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,2.0,"2006, December",2006.0
4868,Shelly Gaynor (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,2.0,"2005, April",2005.0
4869,Henry Kucharski (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,2.0,"2004, December",2004.0
4870,Joshua Barbazon (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,2.0,1989.0,1989.0
4871,Sheila Dover (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,2.0,"1966, January",1966.0
4872,Sweryn Kania (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,2.0,"1988, February",1988.0
4873,Kan-Z (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,2.0,"1987, December",1987.0
4874,James Craddock II (New Earth),Public Identity,Neutral Characters,Blue Eyes,White Hair,Living Characters,2.0,"1995, June",1995.0
4875,Tolteca (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,2.0,"2002, September",2002.0
4876,Wrath (Earth-One),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,2.0,"1984, June",1984.0
4877,David Rennington (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,2.0,"1982, January",1982.0
4878,Clifton Lacey (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,2.0,"1976, May",1976.0
4879,Antiphon (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,2.0,"2002, September",2002.0
4880,Death-Doll (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,2.0,"1996, October",1996.0
4881,Eva Green (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,2.0,"1996, November",1996.0
4882,Holly Green (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,2.0,"1996, November",1996.0
4883,Sturges Hellstrom (Earth-One),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,2.0,"1984, August",1984.0
4884,Curtis Base (New Earth),Secret Identity,Bad Characters,Blue Eyes,Green Hair,Living Characters,2.0,"1990, July",1990.0
4885,Macro (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,2.0,"2007, September",2007.0
4886,Gamesman (New Earth),Secret Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,2.0,"1997, August",1997.0
4887,Madame X (New Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Living Characters,2.0,"2002, January",2002.0
4888,Headhunter I (New Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Living Characters,2.0,"1992, December",1992.0
4889,Trey Thompson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,2.0,"2007, February",2007.0
4890,Cachiru (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,2.0,"2000, September",2000.0
4891,Timothy Simms (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,2.0,"1988, May",1988.0
4892,Warhammer (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,2.0,"1996, October",1996.0
4893,Equinox (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,2.0,"1994, September",1994.0
4894,Balder (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,2.0,"1991, October",1991.0
4895,Empathy (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,2.0,"2008, March",2008.0
4896,Prohl Gosgotha (New Earth),Secret Identity,Good Characters,Blue Eyes,Unknown or None,Deceased Characters,2.0,"1999, December",1999.0
4897,Billy (New Earth),Secret Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,2.0,"1976, January",1976.0
4898,Iris Phelios (New Earth),Unknown,Bad Characters,Blue Eyes,Black Hair,Living Characters,2.0,"1992, July",1992.0
4899,Immortal (New Earth),Unknown,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,2.0,"1993, October",1993.0
4900,Rico Strada (New Earth),Unknown,Bad Characters,Blue Eyes,Blond Hair,Living Characters,2.0,,
4901,Wormhole (New Earth),Unknown,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,2.0,"2004, August",2004.0
4902,Frederick Abberline (New Earth),Unknown,Good Characters,Blue Eyes,Black Hair,Living Characters,2.0,"2009, February",2009.0
4903,Sister Sunlight (New Earth),Unknown,Good Characters,Blue Eyes,Blond Hair,Living Characters,2.0,"1998, May",1998.0
4904,William West (New Earth),Unknown,Good Characters,Blue Eyes,Unknown or None,Living Characters,2.0,"1961, April",1961.0
4905,Allison Addison (New Earth),Unknown,Unknown or None,Blue Eyes,Brown Hair,Living Characters,2.0,"2007, May",2007.0
4906,Benjamin Vitale (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,2.0,"2010, September",2010.0
4907,Kru-El (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,2.0,"2001, April",2001.0
4908,Wardell Washington (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,2.0,"1999, October",1999.0
4909,Roscoe Barrow (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,2.0,"1991, May",1991.0
4910,Ebenezer Biggs (New Earth),Public Identity,Bad Characters,Brown Eyes,Blond Hair,Living Characters,2.0,"1999, January",1999.0
4911,General Good (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,2.0,"2001, July",2001.0
4912,Marlon Dall (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,2.0,"1997, September",1997.0
4913,Anton Schott (New Earth),Public Identity,Bad Characters,Brown Eyes,Red Hair,Living Characters,2.0,"2011, January",2011.0
4914,Kekona (New Earth),Public Identity,Bad Characters,Brown Eyes,Unknown or None,Living Characters,2.0,"1996, December",1996.0
4915,Bison-Black-As-Midnight-Sky (New Earth),Public Identity,Bad Characters,Brown Eyes,White Hair,Deceased Characters,2.0,"1982, June",1982.0
4916,Esteban Sanchez (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,2.0,1989.0,1989.0
4917,Lawrence Gonzalez (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,2.0,"1988, July",1988.0
4918,Todd Rice (Some Years Later),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,2.0,"2009, February",2009.0
4919,Helen Helligan (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,2.0,"2005, August",2005.0
4920,Bernell Jones (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,2.0,"1997, August",1997.0
4921,Trevis (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,2.0,"1990, September",1990.0
4922,Viro (New Earth),Public Identity,Good Characters,Brown Eyes,Grey Hair,Deceased Characters,2.0,"1990, May",1990.0
4923,Ran-L (New Earth),Public Identity,Good Characters,Brown Eyes,White Hair,Living Characters,2.0,"1987, December",1987.0
4924,Robert Castell (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,2.0,"2006, June",2006.0
4925,Orunmilla (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,2.0,"1997, October",1997.0
4926,Horten Spence (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,2.0,"1992, March",1992.0
4927,Hanuman (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,2.0,"1999, October",1999.0
4928,Jarod Dale (New Earth),Public Identity,Unknown or None,Brown Eyes,Blond Hair,Living Characters,2.0,"2007, May",2007.0
4929,Adele Drew (New Earth),Public Identity,Unknown or None,Brown Eyes,Brown Hair,Deceased Characters,2.0,"1996, June",1996.0
4930,Burton Thompson (New Earth),Public Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,2.0,"1996, July",1996.0
4931,Techno (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,2.0,"1995, January",1995.0
4932,Hardsell (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,2.0,"1994, October",1994.0
4933,Crimesmith (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,2.0,"1990, January",1990.0
4934,William Beezer (New Earth),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Living Characters,2.0,"2005, October",2005.0
4935,All-Beard (New Earth),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Deceased Characters,2.0,"2005, May",2005.0
4936,Jon Standing Bear (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,2.0,"2006, October",2006.0
4937,Aruna Shende (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,2.0,"2000, August",2000.0
4938,Don Caballero (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,2.0,"1951, May",1951.0
4939,Ken Thurston (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,2.0,"2007, January",2007.0
4940,Hammeroon (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,2.0,"1999, February",1999.0
4941,Sabine Roth (New Earth),Secret Identity,Good Characters,Brown Eyes,Grey Hair,Living Characters,2.0,"2008, February",2008.0
4942,Marie Saloppe (New Earth),Secret Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Living Characters,2.0,"1989, January",1989.0
4943,Wizened Sage (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,2.0,1987.0,1987.0
4944,Maggie Mxyzptlk (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,2.0,"2011, February",2011.0
4945,Magda (New Earth),Unknown,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,2.0,"2007, September",2007.0
4946,Helen Belcanto (New Earth),Unknown,Bad Characters,Brown Eyes,Black Hair,Living Characters,2.0,"1996, July",1996.0
4947,Miliza (New Earth),Unknown,Bad Characters,Brown Eyes,Black Hair,Living Characters,2.0,"1991, November",1991.0
4948,Mustapha Maksai (New Earth),Unknown,Bad Characters,Brown Eyes,Black Hair,Living Characters,2.0,"1985, January",1985.0
4949,Feathered Serpent (Earth-Two),Unknown,Bad Characters,Brown Eyes,Blond Hair,Living Characters,2.0,"1982, January",1982.0
4950,Mur (New Earth),Unknown,Bad Characters,Brown Eyes,Brown Hair,Living Characters,2.0,"2009, January",2009.0
4951,Nine of Diamonds I (New Earth),Unknown,Bad Characters,Brown Eyes,Brown Hair,Living Characters,2.0,"2002, February",2002.0
4952,Dolmen (New Earth),Unknown,Bad Characters,Brown Eyes,Brown Hair,Living Characters,2.0,"1999, August",1999.0
4953,Unclean (New Earth),Unknown,Bad Characters,Brown Eyes,Brown Hair,Living Characters,2.0,"1994, June",1994.0
4954,Steven Sharpe V (New Earth),Unknown,Bad Characters,Brown Eyes,Brown Hair,Living Characters,2.0,"1990, July",1990.0
4955,Pallas (New Earth),Unknown,Good Characters,Brown Eyes,Black Hair,Living Characters,2.0,"1998, March",1998.0
4956,Harris Blaine (New Earth),Unknown,Good Characters,Brown Eyes,Black Hair,Deceased Characters,2.0,"1972, June",1972.0
4957,Charlotte Blackwood (New Earth),Unknown,Good Characters,Brown Eyes,Brown Hair,Living Characters,2.0,"2010, December",2010.0
4958,Kane Milohai (New Earth),Unknown,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,2.0,"2008, February",2008.0
4959,Batiri (New Earth),Unknown,Good Characters,Brown Eyes,Brown Hair,Living Characters,2.0,"1989, September",1989.0
4960,Kadesha Banu (New Earth),Unknown,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,2.0,"1989, May",1989.0
4961,Jake Donnelly (New Earth),Unknown,Neutral Characters,Brown Eyes,Black Hair,Living Characters,2.0,"2008, October",2008.0
4962,Tamara Belson (New Earth),Unknown,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,2.0,,
4963,Albart (New Earth),Unknown,Neutral Characters,Brown Eyes,White Hair,Living Characters,2.0,"1990, March",1990.0
4964,Julie Greer (New Earth),Unknown,Unknown or None,Brown Eyes,Blond Hair,Living Characters,2.0,"2007, October",2007.0
4965,Anne Carver (New Earth),Unknown,Unknown or None,Brown Eyes,Brown Hair,Deceased Characters,2.0,"2003, July",2003.0
4966,Karl Zorn (New Earth),Unknown,Unknown or None,Brown Eyes,White Hair,Living Characters,2.0,"2010, July",2010.0
4967,Majistra (New Earth),Public Identity,Bad Characters,Gold Eyes,Black Hair,Living Characters,2.0,"1983, February",1983.0
4968,Dev-Em (New Earth),Public Identity,Bad Characters,Green Eyes,Purple Hair,Living Characters,2.0,"2007, August",2007.0
4969,Cynthia Brand (New Earth),Public Identity,Bad Characters,Green Eyes,Red Hair,Living Characters,2.0,"1997, February",1997.0
4970,Nina Dowd (New Earth),Public Identity,Bad Characters,Green Eyes,Unknown or None,Living Characters,2.0,"1998, September",1998.0
4971,Eyra-L (New Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Living Characters,2.0,"1987, December",1987.0
4972,Dana Rubikskova (New Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Living Characters,2.0,1989.0,1989.0
4973,Qanda (New Earth),Public Identity,Good Characters,Green Eyes,Orange Hair,Living Characters,2.0,"2006, November",2006.0
4974,Lotta (New Earth),Public Identity,Good Characters,Green Eyes,Purple Hair,Living Characters,2.0,"2010, October",2010.0
4975,Illya (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Deceased Characters,2.0,"1990, May",1990.0
4976,Alera (New Earth),Public Identity,Good Characters,Green Eyes,White Hair,Living Characters,2.0,"2010, October",2010.0
4977,Catherine Hamilton (New Earth),Public Identity,Neutral Characters,Green Eyes,Brown Hair,Living Characters,2.0,"2009, October",2009.0
4978,Ramona (New Earth),Public Identity,Unknown or None,Green Eyes,Blond Hair,Living Characters,2.0,"1992, May",1992.0
4979,Sally Marsden (New Earth),Public Identity,Unknown or None,Green Eyes,Red Hair,Living Characters,2.0,"1998, May",1998.0
4980,Kajz Dox (Pre-Zero Hour),Secret Identity,Bad Characters,Green Eyes,Blond Hair,Living Characters,2.0,"1965, August",1965.0
4981,Packrat (New Earth),Secret Identity,Bad Characters,Green Eyes,Brown Hair,Living Characters,2.0,"1999, January",1999.0
4982,Zephyr (New Earth),Secret Identity,Bad Characters,Green Eyes,Red Hair,Living Characters,2.0,"1994, March",1994.0
4983,Brain-Bandit (New Earth),Secret Identity,Bad Characters,Green Eyes,Unknown or None,Living Characters,2.0,"1994, March",1994.0
4984,Hollywood (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,2.0,"2005, November",2005.0
4985,Anya Savenlovich (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,2.0,"1999, February",1999.0
4986,Slats Mehlville (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,2.0,"1988, May",1988.0
4987,Bizarro Brainiac (New Earth),Secret Identity,Neutral Characters,Green Eyes,Unknown or None,Living Characters,2.0,"2007, December",2007.0
4988,Brendt Sorensen (New Earth),Unknown,Bad Characters,Green Eyes,Red Hair,Living Characters,2.0,"2011, January",2011.0
4989,Ophelia Day (New Earth),Unknown,Bad Characters,Green Eyes,Red Hair,Living Characters,2.0,"2011, April",2011.0
4990,Princess Emerald I (New Earth),Unknown,Unknown or None,Green Eyes,Brown Hair,Deceased Characters,2.0,"1983, August",1983.0
4991,Marleah (New Earth),Public Identity,Bad Characters,Grey Eyes,Brown Hair,Living Characters,2.0,"1990, March",1990.0
4992,Lisa Morice (New Earth),Public Identity,Good Characters,Grey Eyes,Strawberry Blond Hair,Living Characters,2.0,,
4993,Bette Noir (New Earth),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Living Characters,2.0,"1999, February",1999.0
4994,Goldstar (New Earth),Unknown,Bad Characters,Grey Eyes,Unknown or None,Living Characters,2.0,"1988, February",1988.0
4995,Casey Krinsky (New Earth),Public Identity,Bad Characters,Hazel Eyes,Blond Hair,Living Characters,2.0,"2004, October",2004.0
4996,Gulacia (New Earth),Public Identity,Neutral Characters,Hazel Eyes,Brown Hair,Living Characters,2.0,"1990, May",1990.0
4997,Katherine Viverrida (New Earth),Unknown,Unknown or None,Orange Eyes,Unknown or None,Living Characters,2.0,"1995, November",1995.0
4998,Warbox (New Earth),Public Identity,Bad Characters,Photocellular Eyes,Unknown or None,Living Characters,2.0,"2007, November",2007.0
4999,Kelor (New Earth),Public Identity,Neutral Characters,Photocellular Eyes,Unknown or None,Living Characters,2.0,"1988, February",1988.0
5000,Platinum Man (New Earth),Secret Identity,Bad Characters,Photocellular Eyes,Unknown or None,Living Characters,2.0,"1968, July",1968.0
5001,Gold Girl (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,2.0,"1968, July",1968.0
5002,Iron Girl (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,2.0,"1968, July",1968.0
5003,Lead Girl (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,2.0,"1968, July",1968.0
5004,Mercury Girl (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,2.0,"1968, July",1968.0
5005,Dolores Pratchet (New Earth),Public Identity,Bad Characters,Red Eyes,Red Hair,Living Characters,2.0,"2000, January",2000.0
5006,Chaq (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,2.0,"1992, October",1992.0
5007,Quarzz Teranh (New Earth),Public Identity,Good Characters,Red Eyes,Brown Hair,Deceased Characters,2.0,"1982, April",1982.0
5008,Prince Ruby (New Earth),Public Identity,Good Characters,Red Eyes,Red Hair,Living Characters,2.0,"1985, July",1985.0
5009,Acolyte (New Earth),Secret Identity,Bad Characters,Red Eyes,Blue Hair,Living Characters,2.0,"1999, June",1999.0
5010,Dante (New Earth),Secret Identity,Bad Characters,Red Eyes,Brown Hair,Living Characters,2.0,"1999, September",1999.0
5011,Drakul Karfang (New Earth),Secret Identity,Bad Characters,Red Eyes,Unknown or None,Deceased Characters,2.0,"2000, November",2000.0
5012,Plutonium Man (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Deceased Characters,2.0,"1976, May",1976.0
5013,White Spider (New Earth),Unknown,Bad Characters,Red Eyes,White Hair,Deceased Characters,2.0,"1993, January",1993.0
5014,Aten (New Earth),Unknown,Good Characters,Red Eyes,Unknown or None,Living Characters,2.0,"2000, May",2000.0
5015,Quentin Quantis (New Earth),Unknown,Unknown or None,Red Eyes,Grey Hair,Living Characters,2.0,"1985, July",1985.0
5016,Fura (New Earth),Public Identity,Bad Characters,White Eyes,Unknown or None,Deceased Characters,2.0,"1944, December",1944.0
5017,Orlan (New Earth),Public Identity,Good Characters,White Eyes,Unknown or None,Living Characters,2.0,"2009, January",2009.0
5018,Caitiff (New Earth),Public Identity,Neutral Characters,White Eyes,Brown Hair,Deceased Characters,2.0,"1986, March",1986.0
5019,Mircea (New Earth),Secret Identity,Bad Characters,White Eyes,Black Hair,Living Characters,2.0,"2007, April",2007.0
5020,Zaladin (New Earth),Secret Identity,Bad Characters,White Eyes,Black Hair,Living Characters,2.0,"2003, July",2003.0
5021,Zhang Xiaomei (New Earth),Secret Identity,Bad Characters,White Eyes,Unknown or None,Living Characters,2.0,"2005, October",2005.0
5022,Colin Brandywine (New Earth),Secret Identity,Good Characters,White Eyes,Black Hair,Living Characters,2.0,"1993, September",1993.0
5023,Notional Man (New Earth),Unknown,Bad Characters,White Eyes,White Hair,Living Characters,2.0,"1990, November",1990.0
5024,Sela Allen (New Earth),Unknown,Good Characters,White Eyes,Unknown or None,Living Characters,2.0,"1999, March",1999.0
5025,Horigal (New Earth),Public Identity,Bad Characters,Yellow Eyes,Black Hair,Living Characters,2.0,"2005, June",2005.0
5026,George Tweedle (New Earth),Public Identity,Bad Characters,Yellow Eyes,Black Hair,Living Characters,2.0,"1995, March",1995.0
5027,Zone Child (New Earth),Public Identity,Bad Characters,Yellow Eyes,Unknown or None,Living Characters,2.0,"2011, May",2011.0
5028,Midas (New Earth),Secret Identity,Bad Characters,Yellow Eyes,Gold Hair,Living Characters,2.0,"1965, November",1965.0
5029,Izanami (New Earth),Unknown,Bad Characters,Yellow Eyes,Black Hair,Living Characters,2.0,"2002, July",2002.0
5030,Ebikar Hrui (New Earth),Unknown,Good Characters,Yellow Eyes,Green Hair,Deceased Characters,2.0,"2000, February",2000.0
5031,Lan Dibbux (New Earth),Unknown,Good Characters,Yellow Eyes,Unknown or None,Living Characters,2.0,"1993, December",1993.0
5032,Lord of Limbo (Earth-One),Identity Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,2.0,"1980, April",1980.0
5033,Akahara (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Deceased Characters,2.0,"2004, October",2004.0
5034,Erik Verdalian (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,2.0,"2004, December",2004.0
5035,Edward Skeevers (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Deceased Characters,2.0,"1999, December",1999.0
5036,Ferris Boyle (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,2.0,"1997, May",1997.0
5037,Matthew Nieman (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,2.0,"1994, December",1994.0
5038,Jiv Reduu (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Deceased Characters,2.0,"1991, August",1991.0
5039,Darren Jones (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,2.0,"1990, August",1990.0
5040,Peter Lomax (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,2.0,"1985, April",1985.0
5041,Synnar (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Deceased Characters,2.0,"1984, November",1984.0
5042,Strega I (New Earth),Public Identity,Bad Characters,Unknown or None,Blond Hair,Deceased Characters,2.0,"1995, March",1995.0
5043,Andrew Haskell (New Earth),Public Identity,Bad Characters,Unknown or None,Blond Hair,Deceased Characters,2.0,"1988, December",1988.0
5044,Wes Anselm (New Earth),Public Identity,Bad Characters,Unknown or None,Blond Hair,Deceased Characters,2.0,"1988, December",1988.0
5045,Louis Yagger (New Earth),Public Identity,Bad Characters,Unknown or None,Blond Hair,Living Characters,2.0,"1982, May",1982.0
5046,Manuel Carlito (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Living Characters,2.0,"2011, May",2011.0
5047,Frankie Carbone (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,2.0,"1997, February",1997.0
5048,Joe Bandano (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,2.0,"1997, February",1997.0
5049,Daniel Maris (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,2.0,"1996, March",1996.0
5050,Sinthia (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Living Characters,2.0,"1996, June",1996.0
5051,Dispatcher (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,2.0,"1991, July",1991.0
5052,George Lawton (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,2.0,"1988, December",1988.0
5053,Thomas Dawson (New Earth),Public Identity,Bad Characters,Unknown or None,Grey Hair,Deceased Characters,2.0,"1999, March",1999.0
5054,Luigi Maroni (New Earth),Public Identity,Bad Characters,Unknown or None,Grey Hair,Deceased Characters,2.0,"1997, August",1997.0
5055,Vera Klopis (New Earth),Public Identity,Bad Characters,Unknown or None,Pink Hair,Living Characters,2.0,"2006, June",2006.0
5056,William II (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,2.0,"2011, February",2011.0
5057,Chair (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,2.0,"2010, April",2010.0
5058,Narok (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,2.0,"2010, January",2010.0
5059,Viktor Burgos (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,2.0,"2010, June",2010.0
5060,Canis Major (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,2.0,"2001, August",2001.0
5061,Thurber Avian (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,2.0,"1997, November",1997.0
5062,Harmon (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,2.0,"1989, November",1989.0
5063,Volunteer (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,2.0,"1989, October",1989.0
5064,Edward Arling (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,2.0,"1988, February",1988.0
5065,Genevieve Pitt (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,2.0,"1988, November",1988.0
